day,image,pull_count
2021-10-03,marquezproject/marquez,412958
2021-10-03,marquezproject/marquez-web,169787
2021-10-02,marquezproject/marquez,412632
2021-10-02,marquezproject/marquez-web,169754
2021-10-01,marquezproject/marquez,412309
2021-10-01,marquezproject/marquez-web,169720
2021-09-30,marquezproject/marquez,411971
2021-09-30,marquezproject/marquez-web,169672
2021-09-29,marquezproject/marquez,411635
2021-09-29,marquezproject/marquez-web,169630
2021-09-28,marquezproject/marquez,411304
2021-09-28,marquezproject/marquez-web,169582
2021-09-27,marquezproject/marquez,410955
2021-09-27,marquezproject/marquez-web,169525
2021-09-26,marquezproject/marquez,410624
2021-09-26,marquezproject/marquez-web,169479
2021-09-25,marquezproject/marquez,410301
2021-09-25,marquezproject/marquez-web,169442
2021-09-24,marquezproject/marquez,409974
2021-09-24,marquezproject/marquez-web,169407
2021-09-23,marquezproject/marquez,409602
2021-09-23,marquezproject/marquez-web,169324
2021-09-22,marquezproject/marquez,409248
2021-09-22,marquezproject/marquez-web,169255
2021-09-21,marquezproject/marquez,408915
2021-09-21,marquezproject/marquez-web,169211
2021-09-20,marquezproject/marquez,408574
2021-09-20,marquezproject/marquez-web,169165
2021-09-19,marquezproject/marquez,408242
2021-09-19,marquezproject/marquez-web,169122
2021-09-18,marquezproject/marquez,407918
2021-09-18,marquezproject/marquez-web,169080
2021-09-17,marquezproject/marquez,407594
2021-09-17,marquezproject/marquez-web,169041
2021-09-16,marquezproject/marquez,407253
2021-09-16,marquezproject/marquez-web,168992
2021-09-15,marquezproject/marquez,406916
2021-09-15,marquezproject/marquez-web,168946
2021-09-14,marquezproject/marquez,406560
2021-09-14,marquezproject/marquez-web,168894
2021-09-13,marquezproject/marquez,406299
2021-09-13,marquezproject/marquez-web,168849
2021-09-11,marquezproject/marquez,405289
2021-09-11,marquezproject/marquez-web,168698
2021-09-10,marquezproject/marquez,405281
2021-09-10,marquezproject/marquez-web,168698
2021-09-08,marquezproject/marquez,404539
2021-09-08,marquezproject/marquez-web,168599
2021-09-07,marquezproject/marquez,404168
2021-09-07,marquezproject/marquez-web,168533
2021-09-06,marquezproject/marquez,403845
2021-09-06,marquezproject/marquez-web,168488
2021-09-05,marquezproject/marquez,403575
2021-09-05,marquezproject/marquez-web,168451
2021-09-04,marquezproject/marquez,403039
2021-09-04,marquezproject/marquez-web,168397
2021-09-03,marquezproject/marquez,402732
2021-09-03,marquezproject/marquez-web,168366
2021-09-02,marquezproject/marquez,402384
2021-09-02,marquezproject/marquez-web,168320
2021-09-01,marquezproject/marquez,402062
2021-09-01,marquezproject/marquez-web,168275
2021-08-31,marquezproject/marquez,401731
2021-08-31,marquezproject/marquez-web,168222
2021-08-30,marquezproject/marquez,401414
2021-08-30,marquezproject/marquez-web,168185
2021-08-29,marquezproject/marquez,401105
2021-08-29,marquezproject/marquez-web,168166
2021-08-28,marquezproject/marquez,400792
2021-08-28,marquezproject/marquez-web,168137
2021-08-27,marquezproject/marquez,400462
2021-08-27,marquezproject/marquez-web,168109
2021-08-26,marquezproject/marquez,400135
2021-08-26,marquezproject/marquez-web,168063
2021-08-25,marquezproject/marquez,399803
2021-08-25,marquezproject/marquez-web,168011
2021-08-24,marquezproject/marquez,399478
2021-08-24,marquezproject/marquez-web,167973
2021-08-23,marquezproject/marquez,399130
2021-08-23,marquezproject/marquez-web,167924
2021-08-22,marquezproject/marquez,398825
2021-08-22,marquezproject/marquez-web,167909
2021-08-21,marquezproject/marquez,398508
2021-08-21,marquezproject/marquez-web,167887
2021-08-20,marquezproject/marquez,398170
2021-08-20,marquezproject/marquez-web,167843
2021-08-19,marquezproject/marquez,397791
2021-08-19,marquezproject/marquez-web,167772
2021-08-18,marquezproject/marquez,397428
2021-08-18,marquezproject/marquez-web,167701
2021-08-17,marquezproject/marquez,397101
2021-08-17,marquezproject/marquez-web,167659
2021-08-16,marquezproject/marquez,396783
2021-08-16,marquezproject/marquez-web,167625
2021-08-15,marquezproject/marquez,396466
2021-08-15,marquezproject/marquez-web,167593
2021-08-14,marquezproject/marquez,396152
2021-08-14,marquezproject/marquez-web,167567
2021-08-13,marquezproject/marquez,395840
2021-08-13,marquezproject/marquez-web,167538
2021-08-12,marquezproject/marquez,395518
2021-08-12,marquezproject/marquez-web,167503
2021-08-11,marquezproject/marquez,395198
2021-08-11,marquezproject/marquez-web,167469
2021-08-10,marquezproject/marquez,394877
2021-08-10,marquezproject/marquez-web,167443
2021-08-09,marquezproject/marquez,394565
2021-08-09,marquezproject/marquez-web,167413
2021-08-08,marquezproject/marquez,394260
2021-08-08,marquezproject/marquez-web,167392
2021-08-07,marquezproject/marquez,393951
2021-08-07,marquezproject/marquez-web,167364
2021-08-06,marquezproject/marquez,393617
2021-08-06,marquezproject/marquez-web,167320
2021-08-05,marquezproject/marquez,393265
2021-08-05,marquezproject/marquez-web,167256
2021-08-04,marquezproject/marquez,392903
2021-08-04,marquezproject/marquez-web,167214
