day,domain,messages
2021-05-23,marquezproject,0
2021-05-22,marquezproject,0
2021-05-18,marquezproject,0
2021-05-16,marquezproject,0
2021-05-15,marquezproject,0
2021-05-11,marquezproject,0
2021-05-10,marquezproject,0
2021-05-09,marquezproject,0
2021-05-02,marquezproject,0
2021-05-01,marquezproject,0
2021-04-27,marquezproject,0
2021-04-25,marquezproject,0
2021-04-24,marquezproject,0
2021-04-23,marquezproject,0
2021-04-22,marquezproject,0
2021-04-21,marquezproject,0
2021-04-17,marquezproject,0
2021-04-14,marquezproject,0
2021-04-11,marquezproject,0
2021-04-10,marquezproject,0
2021-04-04,marquezproject,0
2021-09-06,marquezproject,1
2021-09-05,marquezproject,1
2021-09-01,marquezproject,1
2021-08-12,marquezproject,1
2021-08-06,marquezproject,1
2021-08-05,marquezproject,1
2021-07-30,marquezproject,1
2021-07-18,marquezproject,1
2021-07-07,marquezproject,1
2021-07-03,marquezproject,1
2021-06-30,marquezproject,1
2021-06-10,marquezproject,1
2021-06-02,marquezproject,1
2021-05-08,marquezproject,1
2021-05-04,marquezproject,1
2021-05-03,marquezproject,1
2021-04-26,marquezproject,1
2021-04-18,marquezproject,1
2021-04-15,marquezproject,1
2021-04-13,marquezproject,1
2021-04-07,marquezproject,1
2021-08-23,marquezproject,2
2021-08-13,marquezproject,2
2021-08-09,marquezproject,2
2021-07-29,marquezproject,2
2021-07-09,marquezproject,2
2021-06-21,marquezproject,2
2021-06-15,marquezproject,2
2021-06-11,marquezproject,2
2021-05-27,marquezproject,2
2021-05-20,marquezproject,2
2021-05-19,marquezproject,2
2021-05-13,marquezproject,2
2021-05-12,marquezproject,2
2021-05-05,marquezproject,2
2021-04-30,marquezproject,2
2021-04-20,marquezproject,2
2021-04-12,marquezproject,2
2021-04-05,marquezproject,2
2021-09-03,marquezproject,3
2021-08-14,marquezproject,3
2021-08-03,marquezproject,3
2021-07-27,marquezproject,3
2021-07-19,marquezproject,3
2021-07-16,marquezproject,3
2021-06-13,marquezproject,3
2021-05-25,marquezproject,3
2021-05-24,marquezproject,3
2021-04-29,marquezproject,3
2021-04-28,marquezproject,3
2021-04-19,marquezproject,3
2021-04-16,marquezproject,3
2021-04-08,marquezproject,3
2021-04-06,marquezproject,3
2021-04-03,marquezproject,3
2021-04-02,marquezproject,3
2021-08-30,marquezproject,4
2021-08-10,marquezproject,4
2021-08-04,marquezproject,4
2021-08-02,marquezproject,4
2021-07-23,marquezproject,4
2021-07-20,marquezproject,4
2021-07-12,marquezproject,4
2021-07-08,marquezproject,4
2021-05-14,marquezproject,4
2021-07-02,marquezproject,5
2021-07-01,marquezproject,5
2021-06-14,marquezproject,5
2021-07-28,marquezproject,6
2021-07-13,marquezproject,6
2021-06-18,marquezproject,6
2021-05-17,marquezproject,6
2021-08-31,marquezproject,7
